time	V(n001)	V(n004)	V(n008)
1.516892975500646e-003	5.000000e+000	1.950826e+000	1.553512e+000
1.517241512558542e-003	5.000000e+000	2.003975e+000	1.379244e+000
1.517730852732740e-003	5.000000e+000	2.071581e+000	1.134574e+000
1.518400449468074e-003	5.000000e+000	2.154010e+000	7.997752e-001
1.519036711687228e-003	5.000000e+000	2.222151e+000	4.816442e-001
1.520000000000000e-003	5.000000e+000	2.314032e+000	0.000000e+000
1.520059488010151e-003	5.000000e+000	2.318954e+000	0.000000e+000
1.520178464030453e-003	5.000000e+000	2.328645e+000	0.000000e+000
1.520416416071056e-003	5.000000e+000	2.347309e+000	0.000000e+000
1.520892320152264e-003	5.000000e+000	2.381989e+000	0.000000e+000
1.521844128314678e-003	5.000000e+000	2.442580e+000	0.000000e+000
1.523747744639507e-003	5.000000e+000	2.541105e+000	0.000000e+000
1.526333969904834e-003	5.000000e+000	2.643606e+000	0.000000e+000
1.529125039511666e-003	5.000000e+000	2.725401e+000	0.000000e+000
1.531851333308112e-003	5.000000e+000	2.785071e+000	0.000000e+000
1.534438858330955e-003	5.000000e+000	2.828882e+000	0.000000e+000
1.536946901411423e-003	5.000000e+000	2.862716e+000	0.000000e+000
1.539840337239039e-003	5.000000e+000	2.893974e+000	0.000000e+000
1.543917966527651e-003	5.000000e+000	2.929158e+000	0.000000e+000
1.548025884081021e-003	5.000000e+000	2.957757e+000	0.000000e+000
1.550844883702636e-003	5.000000e+000	2.973840e+000	0.000000e+000
1.553701668435459e-003	5.000000e+000	2.987611e+000	0.000000e+000
1.556833954822906e-003	5.000000e+000	3.000727e+000	0.000000e+000
1.560025984966298e-003	5.000000e+000	3.012353e+000	0.000000e+000
1.563651970940736e-003	5.000000e+000	3.023814e+000	0.000000e+000
1.567632764039329e-003	5.000000e+000	3.034667e+000	0.000000e+000
1.572587058339300e-003	5.000000e+000	3.046167e+000	0.000000e+000
1.578594745126127e-003	5.000000e+000	3.057803e+000	0.000000e+000
1.586702868614872e-003	5.000000e+000	3.070567e+000	0.000000e+000
1.596702868614872e-003	5.000000e+000	3.083169e+000	0.000000e+000
1.606702868614872e-003	5.000000e+000	3.093205e+000	0.000000e+000
1.616702868614872e-003	5.000000e+000	3.101275e+000	0.000000e+000
1.626702868614872e-003	5.000000e+000	3.107910e+000	0.000000e+000
1.636702868614872e-003	5.000000e+000	3.113463e+000	0.000000e+000
1.646702868614872e-003	5.000000e+000	3.118178e+000	0.000000e+000
1.656702868614872e-003	5.000000e+000	3.122233e+000	0.000000e+000
1.666702868614872e-003	5.000000e+000	3.125756e+000	0.000000e+000
1.676702868614872e-003	5.000000e+000	3.128847e+000	0.000000e+000
1.686702868614872e-003	5.000000e+000	3.131579e+000	0.000000e+000
1.696702868614872e-003	5.000000e+000	3.134013e+000	0.000000e+000
1.706702868614872e-003	5.000000e+000	3.136194e+000	0.000000e+000
1.716702868614872e-003	5.000000e+000	3.138160e+000	0.000000e+000
1.726702868614872e-003	5.000000e+000	3.139941e+000	0.000000e+000
1.736702868614872e-003	5.000000e+000	3.141562e+000	0.000000e+000
1.746702868614872e-003	5.000000e+000	3.143044e+000	0.000000e+000
1.756702868614872e-003	5.000000e+000	3.144403e+000	0.000000e+000
1.766702868614872e-003	5.000000e+000	3.145655e+000	0.000000e+000
1.776702868614872e-003	5.000000e+000	3.146812e+000	0.000000e+000
1.786702868614872e-003	5.000000e+000	3.147884e+000	0.000000e+000
1.796702868614872e-003	5.000000e+000	3.148880e+000	0.000000e+000
1.806702868614872e-003	5.000000e+000	3.149808e+000	0.000000e+000
1.816702868614872e-003	5.000000e+000	3.150675e+000	0.000000e+000
1.826702868614872e-003	5.000000e+000	3.151486e+000	0.000000e+000
1.836702868614873e-003	5.000000e+000	3.152247e+000	0.000000e+000
1.846702868614873e-003	5.000000e+000	3.152962e+000	0.000000e+000
1.856702868614873e-003	5.000000e+000	3.153635e+000	0.000000e+000
1.866702868614873e-003	5.000000e+000	3.154271e+000	0.000000e+000
1.876702868614873e-003	5.000000e+000	3.154871e+000	0.000000e+000
1.886702868614873e-003	5.000000e+000	3.155439e+000	0.000000e+000
1.896702868614873e-003	5.000000e+000	3.155977e+000	0.000000e+000
1.906702868614873e-003	5.000000e+000	3.156488e+000	0.000000e+000
1.916702868614873e-003	5.000000e+000	3.156973e+000	0.000000e+000
1.926702868614873e-003	5.000000e+000	3.157435e+000	0.000000e+000
1.936702868614873e-003	5.000000e+000	3.157875e+000	0.000000e+000
